session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
604deead30e3bb54e29a828e,5f761e5106b786071f45b4aa,APPROVED,2021-03-14 11:08:32.553000,2021-03-14 11:56:31.333000,2878.78,23,101,2,98,2021-03-14 12:17:55.868000,327BD730,Poland,Poland,Full-Time,DATA EXPIRED,"English, German",Poland,Male,No
604deeba091d4c4a4f6b8b71,5fc1ee72c1a3ba1fdc043e9d,APPROVED,2021-03-14 11:09:56.226000,2021-03-14 11:28:12.872000,1096.646,22,43,0,100,2021-03-14 11:59:55.343000,327BD730,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Male,Yes
604deebf928a3fbaa7fc20bb,5e739143d4934a023004b7fc,APPROVED,2021-03-14 11:08:47.477000,2021-03-14 11:45:44.147000,2216.67,24,182,0,100,2021-03-14 11:56:32.039000,NOCODE,Poland,Poland,Unemployed (and job seeking),Polish,"English, Polish",Poland,Male,Yes
604deec21da0fabb6e30d995,5edd1c649e50c2a126f60b17,APPROVED,2021-03-14 11:08:53.705000,2021-03-14 11:29:51.107000,1257.402,18,43,0,100,2021-03-14 11:57:25.057000,327BD730,Poland,Poland,"Not in paid work (e.g. homemaker', 'retired or disabled)",Polish,"English, German, Polish",Poland,Female,Yes
604deec52a2fa8fd5b81aa48,5fcaf3b881b5447cde47008d,APPROVED,2021-03-14 11:08:53.514000,2021-03-14 11:23:11.535000,858.021,20,63,4,94,2021-03-14 11:53:16.415000,327BD730,Vietnam,Belgium,Unemployed (and job seeking),DATA EXPIRED,"English, French, Vietnamese, Rather not say",Vietnam,Male,Yes
604deec81830ae56e28f0404,5ee69051cbcb070694442b70,APPROVED,2021-03-14 11:08:56.882000,2021-03-14 11:20:32.191000,695.309,25,115,0,100,2021-03-14 11:57:41.085000,327BD730,Italy,Italy,Other,Italian,"English, Italian",Italy,Male,Yes
604deed00e476f3d931d858f,6041efd1efcf8920e88ec048,APPROVED,2021-03-14 11:10:03.934000,2021-03-14 11:32:05.132000,1321.198,23,6,0,100,2021-03-14 12:02:37.611000,327BD730,Poland,Poland,Full-Time,,"English, Polish",Poland,Female,Yes
604deed203ea90ca1dee0de3,604ce30820ad61b5acbf037f,RETURNED,2021-03-14 11:09:12.562000,,4315226.693337,25,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604deee120abf25eefb208dc,5ea805fdf2dd5103a58a96bd,APPROVED,2021-03-14 11:09:24.272000,2021-03-14 11:26:34.411000,1030.139,20,22,0,100,2021-03-14 11:57:59.820000,327BD730,Belgium,Belgium,Other,French,"French, English",Belgium,Female,Yes
604deee871a4520369583255,5be5efdfddf25500011bd882,APPROVED,2021-03-14 11:09:28.217000,2021-03-14 11:28:32.172000,1143.955,22,148,1,100,2021-03-14 11:58:46.705000,327BD730,Poland,Poland,DATA EXPIRED,Polish,"English, Polish",Poland,Male,Yes
604deee8ca3acdf58b320215,5e8237edf80ed29537e1759b,RETURNED,2021-03-14 11:09:31.627000,,4315207.653742,24,59,2,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
604deee9d4896c46066f4c15,5e4986af094e4b3fb6dd8384,APPROVED,2021-03-14 11:09:29.798000,2021-03-14 11:24:09.492000,879.694,20,141,0,100,2021-03-14 11:59:03.247000,327BD730,Poland,Poland,Full-Time,Polish,"English, Polish",Poland,Male,No
604deef4adfa045cb246d5ad,60075182b660fb21ca5b3837,REJECTED,2021-03-14 11:10:04.328000,2021-03-14 11:26:44.060000,999.732,20,17,2,90,2021-03-14 12:01:59.635000,327BD730,Poland,Poland,Unemployed (and job seeking),,"English, Polish",Poland,Female,Yes
604deefd6bf079cfa80ee583,5fca6ca08a2a9d680d7d3a54,APPROVED,2021-03-14 11:09:49.470000,2021-03-14 11:20:27.566000,638.096,19,58,0,100,2021-03-14 11:59:39.819000,327BD730,Czech Republic,Czech Republic,Other,DATA EXPIRED,"Czech, English",Czech Republic,Male,Yes
604deefefa848c9e654a5c60,5e3d34e28186dd11142fa393,APPROVED,2021-03-14 11:14:00.226000,2021-03-14 11:31:39.408000,1059.182,25,101,0,100,2021-03-14 12:09:14.868000,327BD730,Poland,Poland,Part-Time,Polish,"English, Polish, Spanish",Poland,Female,Yes
